Raman Shift (cm-1),EM5_a,EM6_a,Methanol,E60_a,E5_a,E50_a,E30_a,EM1_a,EM8_a,E90_a,Ethanol,EM3_a,E40_a,E20_a,EM2_a,EM9_a,EMX
1082.4,0.20521263534042444,0.1751642029699681,0.02284166930976419,0.3869788074016038,0.3055766791295258,0.3946350981174911,0.40101961269105574,0.31909755695518854,0.11119029338360764,0.3490027821998049,0.2862780663556816,0.27077440284779136,0.3873878633346906,0.40211129488826675,0.2970589507899796,0.08124939122041216,0.15219547734359304
1094.8,0.1584473411049164,0.13849144719163362,0.0196177294359514,0.2784557450515144,0.2511800637576794,0.28116567479690735,0.26678999936029696,0.24653072195612105,0.09709778709569336,0.3176340177127303,0.3143173506820841,0.20592803434540433,0.25931415109002187,0.24471188834664706,0.2300825722152675,0.07554507323649495,0.12826160377485366
1107.2,0.07401055691945413,0.07250351540954274,0.02120560460329169,0.07199167362108944,0.08558501414218565,0.07228736817463004,0.07214089302718205,0.0871935028444048,0.06807129126678593,0.09212886966818638,0.11646207552046367,0.0818159880351769,0.07386661085707974,0.05388925454264396,0.08711647837766952,0.062324612839264375,0.08129504249717787
1119.5,0.05212036376797705,0.055866560611557745,0.022384632152686438,0.02204456131655174,0.06507853252193636,0.019470613222132276,0.012193204308738721,0.0460983047078576,0.05796045805374573,0.024808540379757785,0.04616563153632844,0.04801566533556815,0.03026931484893612,0.016928469321940108,0.05289461020509043,0.05619252495743742,0.0746349182964538
1131.9,0.04559921089421429,0.05399931569982021,0.02326974133576129,0.01422821780911818,0.07816263791693354,0.010128217809323154,0.011609183660267376,0.03403601041024511,0.0581831962200508,0.013404160931379066,0.03262155349160548,0.04100215623354414,0.017853127822277902,0.01128129214794697,0.0459851327691067,0.057587304600155355,0.08110830605607276
1144.2,0.0441162549791182,0.05088849719068554,0.023512708939465613,0.006588066333831349,0.06914390560725271,0.0030658655150950192,0.0035212723096700823,0.034697200389731425,0.056125394412371576,0.007713252940717756,0.02797165494032527,0.042163910124625226,0.00805166849328912,0.0014681833694059133,0.04236533638428829,0.058127740412458696,0.09241320169843216
1156.5,0.045633655400321875,0.04998989742030861,0.02610332687904471,0.0038531638567299133,0.06073868304602812,0.002467660277513663,0.0,0.02943050588279082,0.05823186544741122,0.005734659884618536,0.025313685201857693,0.03881760128167353,0.011919849160896206,0.0044460190565622695,0.04012403493095719,0.05830209500526487,0.08933547011809059
1168.8,0.048418946744416345,0.05339629833943583,0.02832602836381145,0.0008727261744029452,0.011461086161320815,0.0,0.0,0.030495925305427666,0.061473517944446374,0.004660837692698562,0.025169495363282383,0.039864498619043544,0.006726286374281915,0.0,0.040069663426184884,0.06000678406300767,0.07248897398909362
1181.0,0.05023022589646038,0.0561915650382181,0.03598282877628698,0.00650329215469352,0.05143721896730516,3.4683767899464723e-07,0.0,0.03009887240692923,0.06477275884642601,0.004639968338965125,0.025745361815298358,0.04152539583406109,0.005778599258422752,0.0,0.04273405357760563,0.0644098802050546,0.06528340697121476
1193.3,0.058777228904024856,0.06434270028281971,0.04654446067938567,0.009502378332513547,0.04747177612833487,0.004813056109094162,0.00014521475732598424,0.03922132071974235,0.07337365581871176,0.009542365621691416,0.02629042610754761,0.04977203559173375,0.010694833773207135,0.024563793317571244,0.04966012271071939,0.0754636640236371,0.06875269621404707
1205.5,0.08132411345831576,0.0917621312315917,0.07790250662936188,0.016358661744053343,0.023812328694494175,0.0018276903321229716,0.009373911803761943,0.04365403967820929,0.10528606507200856,0.013448918367714328,0.03282048400520327,0.06340169266001909,0.022902277204667965,0.02021328165633827,0.05900398578127317,0.11106606971944097,0.08235066732319514
1217.7,0.14594941149311308,0.16246168874937728,0.17993674829170922,0.024366203245099638,0.06000545392004381,0.0171462113577873,0.0228507935642123,0.06562725644989313,0.18766079111391878,0.021989553410376596,0.03784742997698811,0.10663693775579519,0.02867412800630061,0.018940340746656802,0.08880554471361697,0.20094297719718246,0.11043344255905982
1229.8,0.23385952430300289,0.25472482284030334,0.34222342412171036,0.05518044418039714,0.0911949494347458,0.05718233311802064,0.05579019961438964,0.10607845840355822,0.28988565805888483,0.050387267947844636,0.05891917643813425,0.17137392266603374,0.06580605081141858,0.0666299209252686,0.14091372933000582,0.3112902251944904,0.1463835606965099
1242.0,0.21994550707059657,0.23101323696594572,0.35432797533795635,0.12013782016207795,0.07122706579357753,0.11968309875036993,0.11699437490619463,0.14375372891090513,0.2509142758884581,0.1082921520282542,0.10832260456006922,0.18005847679063838,0.13233181462426666,0.13579313983419683,0.1622213768555665,0.264882798956906,0.13973193672312229
1254.1,0.14336216491541184,0.1427719691699178,0.1828539679719569,0.13422396595652802,0.18398206961993693,0.12956279510062563,0.1243467586931385,0.13843166528809497,0.14432422295683017,0.13643194513143725,0.14104577024056594,0.13916992362804775,0.14009373900757102,0.12469775781275491,0.13824851704299998,0.14195540879565824,0.10596086241923844
1266.2,0.10450420245327494,0.10324428243421169,0.084231742206314,0.094974838448783,0.11145639488172752,0.09835438102036305,0.10400422493593064,0.10780890526237516,0.10124561813946802,0.10130131310686008,0.11194894505432075,0.1048210867715491,0.11182859948474293,0.1270694553345362,0.10801886197087154,0.09601954022997315,0.09111052605608931
1278.3,0.11487299312404034,0.1079737615604819,0.06459606281756866,0.12796091059438727,0.17138140070229407,0.13479898487983463,0.1346482885875388,0.11835280989098153,0.09730946555839202,0.10676273891169133,0.10716875113657814,0.1176724405604894,0.1346089450480889,0.13253669689361644,0.11990959055897137,0.09121713464603065,0.09648076555966952
1290.4,0.12217604123762926,0.11525614207061165,0.06888973942378405,0.13604113107348523,0.1250091315797934,0.13208170252860416,0.12649140547144175,0.14332787008958262,0.09977149728962519,0.14176994699030576,0.13882355059514506,0.13434982503163712,0.1322561281669765,0.12257717140316847,0.1387272477692637,0.08961297261819699,0.1024037288126335
